Date;LIBERIA
2015-11-11;31.4
2015-11-12;31.5
2015-11-13;
2015-11-14;32.1
2015-11-15;
2015-11-16;32.4
2015-11-17;31.5
2015-11-18;
2015-11-19;30.7
2015-11-20;30.8
2015-11-22;
2015-11-23;29.9
2015-11-25;31.9
2015-11-26;32
2015-11-27;
2015-11-29;32.9
2015-11-30;32.2
2015-12-01;
2015-12-02;
2015-12-03;34
2015-12-04;33.2
2015-12-05;33.7
2015-12-06;32.4
2015-12-07;33
2015-12-08;
2015-12-09;32.8
2015-12-10;32.5
2015-12-11;33.1
2015-12-13;34.2
2015-12-14;34
2015-12-15;34.1
2015-12-16;33.6
2015-12-17;34
2015-12-18;
2015-12-19;34.6
2015-12-20;33
2015-12-21;
2015-12-22;33.7
2015-12-23;33.8
2015-12-25;34.1
2015-12-27;33.8
2015-12-28;34.3
2015-12-29;
2015-12-30;34.7
